source;target
BDKI;ATJS
CENA;MUAB
PDJG;MASD
PDWU;BBUK
BNIN;HRDA
MASD;LIPB
BNIA;DBSB
YUDB;BRIN
HRDA;BRIN
CENA;HRDA
ABNA;BSMD
BICN;IBBK
PDKT;NISP
BNIA;CHAS
BBBA;HAGA
BNIN;LIPB
BRIN;MEGA
GNES;JSAB
BRIN;BOTK
SUNI;BDIN
BICN;CNBA
BNIN;BRIN
ABNA;BBIJ
CENA;BHAG
HSBC;ABNA
CENA;BKKB
BNIN;DJAR
ATJS;BMRI
ARTG;TAPE
ATJS;BMRI
EKON;BTAN
ABNA;PDWR
BUMI;BNIN
HVBK;PINB
DBSB;BBIJ
CENA;BBIJ
ABNA;BICN
CITI;SUNI
SYJB;BNIN
VICT;SWAG
BRIN;BNIN
CENA;BTAN
BNIA;ABAL
BBUK;IBBK
BBBA;ANTD
BOFA;DEUT
PUBA;BBIJ
PDNB;CENA
BNIA;LIPB
SWBA;IDMO
BRIN;PDJG
CENA;JSAB
IBBK;BMRI
MEDH;CITI
PDKS;PDML
MAYO;GNES
CENA;MEDH
LIPB;IBBK
BPIA;HSBC
PDYK;BMRI
BNIN;LIPB
BMRI;BEXI
BDIP;BBBA
BBBA;PDJG
BBAI;BDIN
IBBK;BTAN
SYRI;BNIN
DBSB;CHAS
CTCB;AWAN
BMRI;MEDH
ABNA;IBBK
AGTB;DEUT
BMRI;BBUK
DEUT;DBSB
RABO;LIPB
PDIJ;PINB
BKKB;BMRI
BRIN;BSSP
INDI;MGAB
BDIN;BSDR
NISP;ATOS
PDRI;CENA
ARNK;BBBA
PDAC;MEDH
LOMA;HAGA
CHAS;LIPB
CTCB;BNIN
LIPB;PDKT
AGSS;BSMD
KSEB;BRIN
MEDH;BNIN
PDKS;ATJS
PINB;ATJS
BNIN;ATJS
CHAS;BBUK
BDIN;ABAL
PDSB;BRIN
MEGA;ABAL
NISP;SCBL
CENA;BICN
ABAL;BMRI
SYBD;BSMD
BICN;BOTK
SYWS;NISP
PDIJ;CENA
MCOR;BDIN
BICN;BDIN
MEGA;RABO
CENA;BMRI
BRIN;PDJM
BUMI;EKON
MAYA;ATJS
EKON;HAGA
NISP;IBBK
ATJS;PDML
AEIB;BNIA
BNIN;CENA
CICT;BRIN
BDIP;LOMA
BDIP;CENA
SITB;BRIN
BBIJ;SCBL
CNBA;NUPA
PDJB;BNIN
SITB;MEGA
HRDA;NISP
CITI;BSMD
BNIN;BBIJ
BMRI;PDBK
PDSU;BRIN
BDIN;LIPB
DEUT;HSBC
ABAL;BBBA
BBUK;PDKS
BRIN;BSMD
BMRI;MEEK
BBBA;EKST
DBSB;VICT
BRIN;BDKI
BOFA;CENA
BOTK;ABNA
BDIN;HVBK
BNIA;SWBA
BDIN;PDJM
LIPB;VICT
PDSB;BDIN
PDKS;BRIN
BSMD;BNIN
SCBL;IBBK
BDIN;CENA
DEUT;CENA
BMRI;NUPA
BIDX;IBBK
AWAN;DBSB
BBIJ;CENA
HSBC;PMAS
FUJI;CENA
BBIJ;CENA
BARC;BDIN
BNPA;CITI
PDIJ;BNIA
CENA;HAGA
BBUK;ABNA
CENA;IBBK
MEDH;BBBA
OCBC;EKON
CENA;BBIJ
ABAL;BRIN
PDWR;SYWS
LIPB;ABNA
BNIN;PDJB
SITB;BNIA
BMRI;BUMI
BMRI;BDIN
MEGA;CICT
SCBL;MEGA
LIPB;IBBK
BDIN;CTCB
PDAC;PDSB
EKST;HRDA
PINB;MEGA
ABNA;BMRI
BNIN;KSEB
BMRI;MEGA
IBBK;AEIB
BRIN;MAYA
PDKT;MEGA
PDJB;PINB
ARTG;BBIJ
MEGA;IBBK
FAMA;CENA
CENA;PINB
ATJS;PDKB
HAGA;EKON
MUAB;BBBA
BBBA;BPIA
BMRI;HRDA
BRIN;BBBA
PMAS;TAPE
DEUT;CENA
BMRI;HAIN
PINB;HAGA
BNIA;BBIJ
BBBA;SCBL
BMRI;BARC
CENA;BDIN
IBBK;ABAL
BRIN;HRDA
BNIN;BBUK
BMRI;PDIJ
MEGA;ABAL
BRIN;BTAN
BSSP;BRIN
IBBK;JSAB
CENA;MAYA
CITI;BMRI
PDKG;BBBA
BMRI;BKKB
DBSB;MEGA
PDSU;BBIJ
CENA;EKON
GNES;HAGA
NISP;HAGA
BNIN;NISP
PDJB;CITI
GNES;BHAG
NISP;HAGA
PDKT;PDJG
AGTB;PDJG
ABNA;BBBA
BBBA;MEGA
PDWU;BBBA
BSMD;BMRI
PDLP;BMRI
PDSB;PDBK
BSMD;CENA
BMRI;MEGA
BICN;BNIA
CITI;MASD
PDIJ;PDAC
PDWR;BMRI
PDJB;NISP
IBBK;PDKS
BBIJ;BEXI
MEGA;BDIN
NISP;DEUT
ATJS;PDNB
BBUK;BMRI
CENA;WIKE
PDKG;GNES
YUDB;BRIN
PDJT;SYBR
PDKB;IBBK
BRIN;PDJB
AGTB;INPB
ARNK;IBBK
BBBA;VICT
NISP;HRDA
KOEX;BNIN
BNIN;CENA
PDJT;MUAB
PDAC;EKON
PDRI;BBIJ
BRIN;BSMD
BTAN;CENA
ATJS;HSBC
BMRI;BBIJ
CITI;BNIN
ARNK;HAIN
IBBK;HVBK
MEEK;BDIN
CENA;MEDH
BOTK;PDJB
BICN;PINB
BRIN;BBIJ
CTCB;BTAN
MCOR;BRIN
LIPB;ARNK
PDNB;CENA
DBSB;BMRI
NUPA;MASD
ABNA;BNIN
BMRI;MEEK
EKON;CENA
SYJB;BBBA
BRIN;PDJM
BBUK;CENA
CITI;PDWR
LIPB;BSDR
SCBL;DBSB
PDNT;IBBK
ARNK;ARTG
MEDH;BICN
BDIN;RABO
PDKS;PDWR
EKON;IDMO
BNIN;BRIN
BNIA;HAIN
CITI;BMRI
CENA;MAYO
PDJB;BMRI
BDKI;CENA
ARTG;ABNA
BRIN;PDWG
PDAC;EKON
BDIN;IBBK
WIKE;PINB
BBBA;CITI
ABNA;BBBA
DBSB;BICN
SYBR;BNIN
EKON;VICT
CICT;BICN
LIPB;BMRI
CNBA;CENA
HSBC;SCBL
BDKI;IBBK
BBUK;WIKE
BNIN;IBBK
DBSB;MEEK
MAYA;EKON
DBSB;BNPA
BMRI;BPIA
MASD;CITI
PDML;BDIN
BNIN;FUJI
BRIN;BNIN
PDJT;DEUT
CITI;NISP
PDWR;IBBK
BBBA;BNIA
CENA;BSMD
BDKI;SCBL
BRIN;BDIN
LIPB;CICT
BBBA;DBSB
CITI;BSDR
BRIN;MGAB
CENA;NISP
BUMI;BRIN
DEUT;BSMD
MEDH;BBIJ
PDJT;BHAG
BRIN;BTAN
ATJS;BRIN
BOTK;CHAS
ARTG;BNIN
PDLP;BNIN
BOFA;BNIA
PDJT;BDIN
BBIJ;BDIP
BTAN;BMRI
SCBL;BSMD
MCOR;BNIN
SYWS;PDWG
SCBL;MEGA
SUNI;HSBC
PDJB;CENA
GNES;BMRI
MEGA;ARTG
BRIN;LIPB
CENA;MEGA
BNIN;BRIN
ATJS;MEDH
DBSB;HSBC
MEGA;PMAS
HNBN;VICT
BBUK;PDNT
BBIJ;CITI
CENA;BBAI
BMRI;ARTG
BRIN;BBAI
PDKG;ATJS
BRIN;NISP
PDRI;BMRI
BRIN;PDJG
MEEK;BRIN
MEGA;DBSB
PDAC;SYBD
RABO;PINB
HSBC;HAGA
BRIN;BMRI
DEUT;BBBA
ATOS;CENA
FUJI;BMRI
BNIA;ATJS
MCOR;BDIN
CITI;FUJI
ABNA;INPB
SUNI;NISP
PDKB;BRIN
SIHB;ABAL
BBIJ;EKST
INPB;CENA
MCOR;EKON
SYDI;CENA
BNIN;SITB
NUPA;BMRI
BOTK;BNIA
BRIN;HSBC
BMRI;CENA
MUAB;PDWR
BBIJ;BMRI
DEUT;ARNK
BSMD;CENA
BRIN;PINB
ATJS;SWBA
CENA;BOFA
SCBL;AEIB
PDIJ;PDSU
EKST;SYBB
BBIJ;DEUT
BBUK;BMRI
PDSU;CITI
PDSU;BRIN
BKKB;BNIN
BMRI;PDJM
PDKT;BBBA
LIPB;EKON
BRIN;PDWG
PDAC;PDJG
PDIJ;SYWS
AWAN;BICN
PDJG;CENA
IBBK;CICT
SYKT;CENA
MAYA;BBBA
NISP;BCIA
NISP;DBSB
PDWU;BBUK
BMRI;INDI
PDKS;EKON
MGAB;CITI
BBIJ;BPIA
BBAI;LIPB
PDRI;BNIN
BCIA;NISP
PDIJ;IBBK
PDSB;CENA
MCOR;LIPB
PDJB;FUJI
MEGA;PDSB
MUAB;BNIN
PDKS;BSMD
PMAS;JSAB
BNIN;PDJG
SWBA;HAGA
DBSB;BEXI
MGAB;LIPB
BUTG;LOMA
CENA;CNBA
ARTG;ANZB
MUAB;PDJT
BMRI;EKON
PDBK;BNIN
ABNA;BBIJ
FUJI;DEUT
NUPA;FAMA
MEGA;BNPA
PDJG;MUAB
SWBA;ATJS
OCBC;BDIN
BRIN;PDML
INDI;BMRI
FUJI;EKON
BICN;BNIA
CHAS;BBBA
BRIN;PINB
BBBA;BOTK
CITI;CHAS
IBBK;BNIA
ARTG;IBBK
BPIA;BOTK
CITI;BTAN
DBSB;SCBL
CENA;BNIN
BDIN;BICN
PINB;SITB
BICN;IBBK
PDSU;LIPB
BBUK;CENA
CENA;BNIN
BMRI;HVBK
BDKI;PDYK
BRIN;MUAB
