source;target
IBBK;ABNA
BRIN;BMRI
HAGA;DEUT
CENA;ABNA
MEGA;SYBR
AGSS;LIPB
ARNK;LIPB
FUJI;BBBA
BOTK;CITI
RABO;IBBK
BNIN;MEEK
BBBA;SUNI
BMRI;BNPA
BSSP;MEDH
CITI;BDIN
HAGA;BBUK
PDRI;PDJB
OCBC;ABNA
ATJS;LIPB
DBSB;BNIN
KOEX;LIPB
SCBL;BKKB
PINB;CITI
PDJM;BRIN
EKON;BRIN
BNIN;HSBC
PDKB;PINB
CENA;ANZB
HAGA;CITI
PDRI;CHAS
NISP;CENA
MCOR;BMRI
IDMO;VICT
BNIN;BRIN
CTCB;INPB
PDAC;CENA
SUNI;FUJI
EKST;PINB
WIKE;IBBK
BMRI;PDWU
BRIN;PDWG
BUMI;HSBC
CENA;PINB
PINB;RABO
BNIN;KOEX
BNIN;PDJG
DBSB;SUNI
BBAI;BNIA
CITI;CENA
BBIJ;BPIA
RIPA;ABAL
DJAR;ABNA
PDYK;CENA
BNIA;PDSB
LIPB;BICN
BNIN;OCBC
PDRI;BBUK
BBBA;SCBL
BUMI;BSMD
SUNI;BOTK
BSDR;SITB
ABNA;PDJT
MASD;MEGA
SYJB;BMRI
BICN;IBBK
PDJM;MEGA
BMRI;SCBL
BNIN;BDIN
MAYA;MCOR
PINB;BNIN
PDWU;CENA
BDIN;MAYA
EKON;BICN
PDIJ;PINB
MUAB;BTAN
CITI;BDIN
BRIN;BDIN
BMRI;AGSS
CENA;BTAN
CTCB;BDIN
BICN;HMOB
CITI;BBUK
MCOR;SWBA
PINB;BRIN
PDWU;BDIN
PDRI;BMRI
BNPA;PINB
BNIN;BDIN
CITI;HAIN
BRIN;PDWG
PDIJ;CENA
BUMI;DEUT
BDIN;GNES
ATJS;PDKT
BBIJ;YUDB
PDJG;LIPB
BDKI;PDKB
BSSP;PINB
CITI;SWBA
HSBC;BDIN
GNES;ABNA
BNIN;BNIA
BNIA;IBBK
CHAS;ABNA
BBIJ;BUMI
BMRI;HAIN
ANZB;BRIN
BRIN;PDWG
ATJS;INPB
OCBC;LIPB
PDIJ;BDIN
JSAB;BBIJ
BRIN;PDWR
ABNA;BSDR
BBIJ;ARNK
DJAR;ABNA
CITI;NISP
CENA;BPIA
BNIN;GNES
SUNI;VICT
PINB;PDRI
SYBD;BDIN
JSAB;BRIN
ABAL;BRIN
BMRI;DEUT
BBIJ;PDJB
BMRI;PDRI
BBUK;PDJT
BMRI;DEUT
HAIN;EKON
BRIN;HAIN
HRDA;HNBN
BDIN;ATOS
BMRI;BIDX
BBIJ;BMRI
ABNA;BNIA
BRIN;PDML
BDIN;BBBA
BBBA;TAPE
ARTG;CENA
BDIN;CENA
PINB;BBUK
CITI;BNIA
PDWR;MEGA
IBBK;SUNI
ATJS;AWAN
CENA;PDBK
EKON;CENA
DJAR;BMRI
CHAS;BNIN
CENA;BSDR
BICN;NISP
BNIA;BBIJ
CTCB;HSBC
BMRI;CENA
NISP;JSAB
SUNI;BRIN
CICT;BBUK
CENA;VICT
PMAS;GNES
BNIN;PDKG
BMRI;BNIA
NISP;BPIA
ANTD;CITI
BBIJ;BDIN
BNIA;BBUK
PDKS;BRIN
BARC;BNIN
ANZB;BTAN
PDKB;MEGA
LIPB;BSSP
PDYK;LIPB
BBBA;BBAI
DEUT;VICT
MEGA;MAYO
BRIN;PDKG
CITI;NISP
HRDA;MASD
BSMD;PDSB
BHAG;BDIN
BNIN;ABAL
HRDA;BDIN
BICN;SCBL
ATJS;PDML
BOFA;BSMD
CENA;BRIN
LIPB;BSMD
BSDR;BNIA
LIPB;GNES
GNES;CENA
BUMI;HSBC
BPIA;DEUT
CNBA;BBUK
PDNT;BRIN
INPB;LIPB
BBIJ;LIPB
SITB;IBBK
TAPE;BDIN
BTAN;SCBL
CENA;BSSP
INPB;CENA
BTAN;BMRI
ABNA;DEUT
BDKI;BDIN
SWBA;BNIN
CHAS;BRIN
MASD;BHAG
PDKT;BDIN
LIPB;HSBC
PDKB;BTAN
ATJS;ABAL
ATJS;PDYK
BSDR;LIPB
NISP;BNPA
BRIN;DEUT
CENA;BBBA
HRDA;MASD
EKON;CITI
BUMI;ARTG
MEEK;BHAG
BRIN;PDWU
BMRI;BDIN
SYWS;CENA
DBSB;SITB
PDRI;BBUK
BDKI;BNIA
EKST;HSBC
LIPB;IBBK
MUAB;BRIN
EKON;BMRI
DEUT;HSBC
NISP;PDRI
BBIJ;BDIN
RABO;HAGA
DBSB;BNIN
PINB;LIPB
BRIN;PDSU
IBBK;BMRI
ABNA;PDJG
BMRI;PDJM
PDYK;BDIN
BICN;BRIN
MEEK;BNIN
IBBK;MAYA
ROYB;CENA
BBUK;BDKI
BNIN;BEXI
NUPA;IBBK
BBBA;CICT
BSMD;BBBA
PDJB;CENA
BDIN;NUPA
WIKE;CENA
BPIA;CTCB
HSBC;BNIA
CTCB;MEGA
CTCB;MEGA
BBBA;LIPB
CENA;BARC
BRIN;NISP
PDNT;BRIN
BTAN;BRIN
CHAS;CITI
BBBA;PDJT
BRIN;PDAC
ABNA;BOTK
SCBL;BNIN
HVBK;BNIN
ARNK;ATJS
BUTG;EKON
BBIJ;BBBA
BMRI;PDNB
ATJS;BNIA
BNIA;DBSB
BRIN;PDSB
INPB;BNIN
DEUT;HSBC
JSAB;CENA
BDIN;CTCB
TAPE;IDMO
ABNA;BRIN
BBUK;AWAN
OCBC;GNES
BBAI;BBBA
ABAL;SIHB
BBBA;CITI
PDRI;AWAN
EKST;CENA
BSSP;PDJT
NISP;BICN
BDIP;EKON
BNIN;PDLP
LIPB;PDJB
BBIJ;GNES
BSMD;SYJB
ATJS;BICN
MASD;MEDH
CENA;CICT
BMRI;PDKB
PDNT;IBBK
ATJS;BUTG
DEUT;MEGA
CENA;MGAB
DBSB;BDIN
MGAB;BMRI
CENA;SYWS
BNIN;BMRI
CENA;BBBA
HSBC;PDIJ
BNIA;SITB
LIPB;IBBK
NISP;ATJS
MASB;BICN
HRDA;BIDX
PDNT;IBBK
MAYA;BMRI
PDRI;BRIN
SUNI;BNIN
PINB;BMRI
SCBL;BRIN
BNIA;MEGA
CITI;SUNI
CITI;BMRI
BBIJ;BBIJ
BBIJ;AEIB
PDIJ;CENA
PDSB;BNIN
BBBA;AGTB
GNES;MEEK
HRDA;OCBC
PDRI;MEGA
PINB;BRIN
NUPA;BOTK
DEUT;BBBA
BBIJ;GNES
EKON;MEGA
DBSB;TAPE
BBBA;GNES
BBBA;PDJM
BNPA;ABNA
PDKS;BDIN
PINB;MCOR
BNPA;CITI
MEGA;JSAB
DEUT;SCBL
BNIN;CITI
IBBK;HVBK
BBUK;PDWG
BUST;MEGA
BBIJ;MASD
PDWR;BRIN
BIDX;NISP
DBSB;BPIA
CENA;CENA
SCBL;BDIN
BNIN;ATOS
PDWU;PDWR
MEDH;BICN
BNIN;PDYK
BNIA;BEXI
DEUT;BEXI
MUAB;BMRI
EKON;MEDH
BRIN;OCBC
BDIP;BBIJ
DBSB;IBBK
BBBA;FUJI
INPB;SCBL
BDIN;PDSB
BBBA;DJAR
MASD;PINB
PINB;AWAN
PDWU;BRIN
BNIN;BSMD
PDSU;JSAB
HAIN;DBSB
BBUK;MEGA
BSMD;PINB
CNBA;ABNA
BNIN;BDIP
BOTK;BNIN
BBIJ;ARTG
PDLP;IBBK
BRIN;PDJB
CENA;TAPE
SCBL;CITI
ARTG;BMRI
CENA;PDKT
ABAL;PDJT
CICT;CITI
NISP;BBUK
BNIA;BNPA
LIPB;JSAB
NUPA;MEGA
PDJM;MEGA
BBIJ;MEGA
HSBC;CHAS
DBSB;BICN
BUMI;BDIN
IBBK;MAYA
PDSU;BDKI
BRIN;LOMA
BDKI;PDSB
BNIA;BTAN
BUMI;MEGA
PDJB;BEXI
PDJT;BNIN
BBUK;ABAL
HSBC;BNIN
BNIN;ARNK
SYBR;BRIN
PDJT;BBIJ
BMRI;BBUK
BBIJ;BMRI
BMRI;CITI
CENA;HAIN
SCBL;BICN
BBBA;CICT
HSBC;SCBL
ANZB;IBBK
BDKI;LIPB
PINB;MCOR
BSMD;BMRI
PINB;CICT
PDJG;PDYK
BRIN;PDWG
BNIA;IBBK
SITB;CNBA
BRIN;HRDA
BBBA;ABNA
BMRI;CHAS
PINB;BRIN
PMAS;ARNK
MEDH;BBBA
LIPB;BICN
KSEB;PDKG
PINB;SCBL
CENA;AEIB
SUNI;BSMD
BNIN;BIDX
BNIA;BBIJ
ARTG;NUPA
GNES;BNIN
BNIN;PDBK
PINB;SCBL
SITB;BNIA
SYWS;IBBK
PDRI;BTAN
HSBC;AGSS
SCBL;BNIA
BRIN;MEDH
LIPB;DEUT
CENA;HRDA
BBIJ;HAGA
BNIN;SYJB
MASB;BICN
SWBA;BMRI
LIPB;BDIN
CENA;IBBK
BRIN;PDSU
BBBA;BUMI
IBBK;HSBC
BNIA;PMAS
BTAN;CENA
NISP;HSBC
BBUK;ARTG
MASD;SCBL
LIPB;ATJS
IBBK;LIPB
CICT;BDIN
HSBC;CITI
HAGA;BNIA
BMRI;BBBA
BMRI;DBSB
MASD;ANTD
PINB;IBBK
PDBK;PDLP
NISP;ANZB
VICT;PINB
NISP;PINB
BICN;MEDH
HAGA;ROYB
ABAL;NISP
DBSB;BNIN
BMRI;BUMI
BRIN;VICT
CITI;BNPA
LIPB;BBBA
MEGA;PDSB
LIPB;IBBK
PINB;BBBA
CTCB;BBUK
BNIA;MEGA
BNIN;ANTD
RABO;BNIN
BNIA;SCBL
BRIN;PDNT
VICT;WIKE
RABO;LIPB
YUDB;JSAB
PDKT;LIPB
FUJI;EKON
PDJB;SCBL
PINB;ANZB
CENA;MASB
EKON;LIPB
HSBC;CENA
SCBL;CENA
ABAL;ATJS
PDKS;BNIA
MASD;BNIN
MEDH;IBBK
CTCB;BMRI
BDIP;MUAB
MUAB;BICN
MEDH;BBBA
BICN;NUPA
INDI;CENA
NUPA;ABNA
BNIA;CHAS
ABNA;CITI
MASD;DJAR
PDJB;BBIJ
BBBA;ANZB
BMRI;BBIJ
BBUK;BRIN
CENA;FUJI
SUNI;BMRI
BHAG;ATJS
LIPB;BBBA
MEGA;BMRI
TAPE;IDMO
CHAS;HSBC
BBIJ;NUPA
MEGA;BBIJ
BNIA;MEGA
SCBL;RABO
CENA;WIKE
BNIA;ABAL
BUMI;MAYA
MEGA;EKON
PDJG;BBBA
BRIN;MUAB
PDKS;BRIN
BNIN;CNBA
LIPB;HAGA
BTAN;PDJT
WIKE;HAGA
BNIN;BMRI
CENA;PDKB
NISP;BMRI
HAGA;IBBK
NISP;FUJI
PDKT;PDBK
INPB;LIPB
LIPB;BSMD
